Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
18,17,27.4,64.8,0.384,118,35.74054,35.74054,0,1,127,19.308107,19.308107,0,1,113,47.654053,47.654053,0,1,141,50.11892,50.11892,0,1,144,47.44865,47.44865,0,1,142,32.043243,32.043243,0,1,1008,1516.7135,1516.7135,64.8,0.5365244
19,18,10,90.72,0.398,120,48.886486,48.886486,0,1,130,62.443245,62.443245,0,1,114,48.064865,48.064865,0,1,144,38.205406,38.205406,0,1,131,40.054054,40.054054,0,1,142,37.794594,37.794594,0,1,1685,3273.3406,3273.3406,90.72,0.7638269
20,19,8.4,64.8,0.398,113,19.308107,19.308107,0,1,129,15.610811,15.610811,0,1,112,23.827026,23.827026,0,1,128,18.075676,18.075676,0,1,127,11.091892,11.091892,0,1,140,31.016216,31.016216,0,1,1098,1761.7622,1761.7622,64.8,0.62562484
21,20,26.6,64.8,0.428,116,27.524324,27.524324,0,1,123,22.183784,22.183784,0,1,123,52.583782,52.583782,0,1,129,10.27027,10.27027,0,1,140,13.145946,13.145946,0,1,138,11.091892,11.091892,0,1,1196,1773.1923,1773.1923,64.8,0.29499394
22,21,16.5,77.76,0.434,121,9.243243,9.243243,0,1,124,30.4,30.4,0,1,116,47.037838,47.037838,0,1,135,26.086487,26.086487,0,1,129,35.945946,35.945946,0,1,144,30.194595,30.194595,0,1,1264,2215.9136,2215.9136,77.76,0.4406203
23,22,20,77.76,0.454,120,36.67229,36.67229,0,1,121,1.0301205,1.0301205,0,1,115,27.813253,27.813253,0,1,132,23.692772,23.692772,0,1,130,18.954216,18.954216,0,1,139,15.245783,15.245783,0,1,1592,3113.2302,3113.2302,77.76,0.25916904
24,23,20.833334,77.76,0.469,115,33.993977,33.993977,0,1,130,48.209637,48.209637,0,1,115,38.32048,38.32048,0,1,132,43.26506,43.26506,0,1,127,6.1807227,6.1807227,0,1,145,29.873493,29.873493,0,1,997,1518.8097,1518.8097,77.76,0.840215
25,24,11.4,64.8,0.469,115,21.426506,21.426506,0,1,127,30.903614,30.903614,0,1,111,44.70723,44.70723,0,1,131,21.014458,21.014458,0,1,123,13.59759,13.59759,0,1,147,60.98313,60.98313,0,1,935,1354.4025,1354.4025,64.8,0.85370564
26,25,15.872483,1931.04,0.476,1305,6248.093,6248.093,142.56,0.8836728,39206,138393.19,138393.19,414.72,0.8792815,1737,9272.32,9272.32,194.4,0.6123242,3140,10992.622,10992.622,155.52,0.555464,2231,8330.584,8330.584,129.6,0.9281607,65535,657460.8,657460.8,1918.08,0.41570985,18469,47650.16,47650.16,272.16,0.7248266
27,26,31.5,51.84,0.489,115,12.979518,12.979518,0,1,135,50.063854,50.063854,0,1,112,31.521687,31.521687,0,1,129,12.773494,12.773494,0,1,142,33.16988,33.16988,0,1,147,25.753012,25.753012,0,1,713,1309.9012,1309.9012,51.84,0.9398449
28,27,19.471428,1814.4,0.496,2734,9505.128,9505.128,116.64,0.6872986,56555,152972.69,152972.69,427.68,0.76306045,2027,9616.381,9616.381,168.48,0.5739789,2968,11852.154,11852.154,155.52,0.9275421,2063,8926.612,8926.612,155.52,0.8293302,65535,701508.1,701508.1,1814.4,0.4814523,13879,37094.594,37094.594,194.4,0.58725595
29,28,32,90.72,0.504,119,62.631325,62.631325,0,1,132,25.959036,25.959036,0,1,116,50.063854,50.063854,0,1,139,46.355423,46.355423,0,1,138,17.924097,17.924097,0,1,146,48.209637,48.209637,0,1,2288,3655.8892,3655.8892,90.72,0.33259556
30,29,8.736842,246.24,0.51,254,815.23737,815.23737,77.76,0.5485196,128,171.8241,171.8241,0,1,115,149.98553,149.98553,0,1,138,155.54819,155.54819,0,1,143,153.28192,153.28192,0,1,163,211.79277,211.79277,0,1,3198,11034.827,11034.827,168.48,0.88049394
31,30,17.785715,1814.4,0.517,3229,10246.608,10246.608,142.56,0.75158846,37513,141949.58,141949.58,518.4,0.7450668,2033,8852.237,8852.237,181.44,0.5923862,3831,10998.597,10998.597,142.56,0.8640575,2138,8265.893,8265.893,181.44,0.9779448,65535,634637.25,634637.25,1814.4,0.41419047,17364,37842.46,37842.46,207.36,0.93912166
32,31,11.5,51.84,0.533,111,6.1807227,6.1807227,0,1,129,27.813253,27.813253,0,1,115,40.174698,40.174698,0,1,135,21.838554,21.838554,0,1,127,26.783133,26.783133,0,1,142,36.67229,36.67229,0,1,1005,2316.1228,2316.1228,51.84,0.8875897
33,32,13.4,64.8,0.533,113,24.516867,24.516867,0,1,124,19.572289,19.572289,0,1,111,23.280724,23.280724,0,1,133,23.898796,23.898796,0,1,130,40.174698,40.174698,0,1,142,22.662651,22.662651,0,1,1963,3288.5566,3288.5566,64.8,0.44176534
34,33,10.470589,440.64,0.58,1393,6190.097,6190.097,207.36,0.79393667,134,196.77838,196.77838,0,1,147,283.45947,283.45947,0,1,148,261.07028,261.07028,0,1,153,367.47028,367.47028,0,1,172,354.94055,354.94055,0,1,11244,42416.773,42416.773,298.08,0.8773853
35,34,32.65445,2475.36,0.587,1968,10939.892,10939.892,220.32,0.82559407,50596,332958.47,332958.47,1010.88,0.94534075,2913,20062.768,20062.768,285.12,0.6607671,4493,25446.033,25446.033,324,0.8642916,3362,18148.389,18148.389,298.08,0.9452436,65535,1311580.5,1311580.5,2449.44,0.54378664,12972,64718.082,64718.082,388.8,0.8173737
36,35,6.3125,207.36,0.601,159,219.16757,219.16757,0,1,125,40.25946,40.25946,0,1,118,125.297295,125.297295,0,1,139,115.02702,115.02702,0,1,133,115.437836,115.437836,0,1,151,124.88649,124.88649,0,1,2503,9517.254,9517.254,207.36,0.54700565
37,36,24.066668,194.4,0.601,245,522.7568,522.7568,51.84,0.5151191,124,43.135136,43.135136,0,1,137,150.15135,150.15135,0,1,141,90.17297,90.17297,0,1,155,114.61622,114.61622,0,1,152,84.42162,84.42162,0,1,5302,14583.989,14583.989,142.56,0.23555845
38,37,25.5,51.84,0.622,114,21.588528,21.588528,0,1,124,18.897297,18.897297,0,1,115,33.275677,33.275677,0,1,129,7.3945947,7.3945947,0,1,139,19.924324,19.924324,0,1,141,27.113514,27.113514,0,1,1080,1372.3135,1372.3135,51.84,0.38437614
39,38,19.184397,1827.36,0.629,1071,5577.553,5577.553,181.44,0.65659493,19401,130283.516,130283.516,712.8,0.8990518,1369,8168.562,8168.562,233.28,0.6316504,1737,9908.757,9908.757,233.28,0.8865281,1250,7389.665,7389.665,233.28,0.92031616,65535,627552.1,627552.1,1827.36,0.48852974,13928,48909.918,48909.918,336.96,0.74722004
40,39,19.666666,194.4,0.636,202,449.22162,449.22162,51.84,0.63258195,130,118.92973,118.92973,0,1,119,109.89189,109.89189,0,1,134,92.63784,92.63784,0,1,135,124.47568,124.47568,0,1,153,152,152,0,1,2470,9813.448,9813.448,155.52,0.4821376
41,40,19.6,64.8,0.651,107,-7.8289156,-7.8289156,0,1,130,53.978313,53.978313,0,1,112,47.591568,47.591568,0,1,139,58.92289,58.92289,0,1,130,25.13494,25.13494,0,1,142,32.75783,32.75783,0,1,853,1568.9996,1568.9996,64.8,0.7246704
42,41,6.6,64.8,0.658,105,-5.1506023,-5.1506023,0,1,125,18.336145,18.336145,0,1,110,35.23012,35.23012,0,1,133,35.23012,35.23012,0,1,128,18.130121,18.130121,0,1,141,22.456627,22.456627,0,1,1016,1476.9867,1476.9867,64.8,0.53593564
43,42,7.4727273,1425.6,0.678,1592,5810.7036,5810.7036,129.6,0.78305364,30776,124178.14,124178.14,660.96,0.7676917,1694,7813.258,7813.258,194.4,0.4875377,2343,9663.767,9663.767,181.44,0.6551027,1735,6879.5566,6879.5566,181.44,0.83039176,65535,578135.56,578135.56,1425.6,0.7608057,13797,49739.68,49739.68,375.84,0.38731533
44,43,16.342106,1969.92,0.693,3977,11006.606,11006.606,155.52,0.8685803,40148,151190.78,151190.78,596.16,0.8629759,1852,9383.367,9383.367,207.36,0.5570586,2847,11791.171,11791.171,194.4,0.74634814,2230,8627.877,8627.877,168.48,0.9618189,65535,702854.7,702854.7,1969.92,0.3725843,10951,40194.58,40194.58,220.32,0.8802338
45,44,30.666666,38.88,0.693,118,15.245783,15.245783,0,1,125,18.336145,18.336145,0,1,117,17.718073,17.718073,0,1,125,4.944578,4.944578,0,1,138,11.949398,11.949398,0,1,141,18.54217,18.54217,0,1,1122,1415.3855,1415.3855,38.88,0.26989147
46,45,22.114754,1581.12,0.707,819,4768.983,4768.983,181.44,0.8032282,18602,127296.29,127296.29,673.92,0.9033892,1243,8020.7617,8020.7617,207.36,0.64457786,1945,9896.086,9896.086,233.28,0.82031196,1225,7299.7114,7299.7114,220.32,0.87171984,65535,610766.5,610766.5,1568.16,0.5462855,11507,36290.195,36290.195,272.16,0.9568786
47,46,30.5,51.84,0.707,118,25.277895,25.277895,0,1,129,44.70723,44.70723,0,1,116,42.028915,42.028915,0,1,134,22.250603,22.250603,0,1,142,39.3506,39.3506,0,1,150,42.634373,42.634373,0,1,937,1255.5907,1255.5907,51.84,0.52536595
48,47,13.116505,1334.88,0.721,1611,5378.5366,5378.5366,103.68,0.6287528,24889,102937.99,102937.99,362.88,0.91124725,1335,6993.7993,6993.7993,155.52,0.5975589,2604,8183.2983,8183.2983,116.64,0.9832663,1641,6267.8037,6267.8037,116.64,0.92022467,65535,512460.25,512460.25,1321.92,0.56615233,17716,40224.563,40224.563,194.4,0.5166839
49,48,25.428572,90.72,0.721,120,36.05422,36.05422,0,1,123,18.748192,18.748192,0,1,115,43.26506,43.26506,0,1,135,31.933735,31.933735,0,1,146,36.05422,36.05422,0,1,143,19.726458,19.726458,0,1,1090,2492.2478,2492.2478,90.72,0.7043501
50,49,12.5,77.76,0.734,122,45.325302,45.325302,0,1,127,38.114456,38.114456,0,1,110,12.56747,12.56747,0,1,128,22.868675,22.868675,0,1,127,18.748192,18.748192,0,1,145,24.49164,24.49164,0,1,930,1830.3181,1830.3181,77.76,0.80199325
51,50,7,25.92,0.748,110,9.477108,9.477108,0,1,120,13.185542,13.185542,0,1,105,5.5626507,5.5626507,0,1,131,15.451807,15.451807,0,1,123,8.859036,8.859036,0,1,143,18.954216,18.954216,0,1,1613,2024.3928,2024.3928,25.92,0
52,51,7.5,51.84,0.765,113,19.513514,19.513514,0,1,121,18.486486,18.486486,0,1,112,32.043243,32.043243,0,1,130,9.448648,9.448648,0,1,131,31.221622,31.221622,0,1,142,25.675676,25.675676,0,1,596,1247.2217,1247.2217,51.84,0.92941064
53,52,7.8333335,77.76,0.777,109,3.4918919,3.4918919,0,1,129,51.145947,51.145947,0,1,113,30.4,30.4,0,1,134,41.902702,41.902702,0,1,133,39.848648,39.848648,0,1,143,33.686485,33.686485,0,1,1245,1825.027,1825.027,77.76,0.34220496
54,53,9.235294,220.32,0.777,245,607.3838,607.3838,64.8,0.69399095,130,65.72973,65.72973,0,1,114,67.37297,67.37297,0,1,136,103.52432,103.52432,0,1,133,138.23784,138.23784,0,1,165,188.76756,188.76756,0,1,1810,6720.8647,6720.8647,155.52,0.5893228
55,54,4.5,51.84,0.833,121,39.43784,39.43784,0,1,127,23.005405,23.005405,0,1,111,24.64865,24.64865,0,1,124,7.8054056,7.8054056,0,1,124,6.3675675,6.3675675,0,1,142,25.675676,25.675676,0,1,1266,2064.119,2064.119,51.84,0.43780068
