Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
1,0,9.5,51.84,0,112,15.244575,15.244575,0,1,125,26.076246,26.076246,0,1,115,44.32962,44.32962,0,1,125,-3.4099708,-3.4099708,0,1,121,4.6134896,4.6134896,0,1,143,13.038123,13.038123,0,1,1327,2029.5343,2029.5343,51.84,0.23718694
2,1,4.875,103.68,0.008,119,38.62588,38.62588,0,1,123,42.045883,42.045883,0,1,124,79.46471,79.46471,0,1,135,14.484706,14.484706,0,1,137,50.696472,50.696472,0,1,152,77.65412,77.65412,0,1,2351,5380.2637,5380.2637,103.68,0.8756385
3,2,16.75,51.84,0.036,120,11.433431,11.433431,0,1,120,11.032258,11.032258,0,1,112,23.06745,23.06745,0,1,132,26.276833,26.276833,0,1,133,34.09971,34.09971,0,1,143,21.462757,21.462757,0,1,1029,1413.7338,1413.7338,51.84,0.81810105
4,3,23.285715,90.72,0.044,125,46.736656,46.736656,0,1,124,3.610557,3.610557,0,1,112,20.860996,20.860996,0,1,134,31.893255,31.893255,0,1,141,46.937244,46.937244,0,1,144,11.634018,11.634018,0,1,1546,2116.1877,2116.1877,90.72,0.77194726
5,4,28,51.84,0.058,112,11.032258,11.032258,0,1,120,1.4041055,1.4041055,0,1,111,30.288563,30.288563,0,1,141,32.896187,32.896187,0,1,139,19.657478,19.657478,0,1,141,15.846334,15.846334,0,1,1414,1634.5795,1634.5795,51.84,0.29697552
6,5,23.8,64.8,0.072,115,17.8522,17.8522,0,1,129,11.834604,11.834604,0,1,115,37.30909,37.30909,0,1,138,33.89912,33.89912,0,1,143,14.241642,14.241642,0,1,143,23.468622,23.468622,0,1,1253,3412.4514,3412.4514,64.8,0.93883955
7,6,26.214285,181.44,0.08,511,965.82404,965.82404,51.84,0.43020007,127,83.443985,83.443985,0,1,121,79.83343,79.83343,0,1,137,94.676834,94.676834,0,1,147,105.50851,105.50851,0,1,143,61.780643,61.780643,0,1,2030,6835.8203,6835.8203,129.6,0.63983566
8,7,26.6,64.8,0.088,114,10.229912,10.229912,0,1,128,27.881525,27.881525,0,1,111,5.817009,5.817009,0,1,132,20.058651,20.058651,0,1,141,15.846334,15.846334,0,1,141,23.468622,23.468622,0,1,1941,4132.2827,4132.2827,64.8,0.6711723
9,8,22.5,51.84,0.137,127,38.11144,38.11144,0,1,125,16.04692,16.04692,0,1,114,35.904984,35.904984,0,1,134,27.480352,27.480352,0,1,138,35.7044,35.7044,0,1,151,24.471554,24.471554,0,1,954,2361.9063,2361.9063,51.84,0.82520133
10,9,19,90.72,0.144,115,42.925514,42.925514,0,1,134,22.866861,22.866861,0,1,124,69.603516,69.603516,0,1,128,8.825807,8.825807,0,1,136,63.385338,63.385338,0,1,153,47.13783,47.13783,0,1,2001,3714.8008,3714.8008,90.72,0.40307504
