Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
1,0,24.2,64.8,0,115,30.072414,30.072414,0,1,126,8.451724,8.451724,0,1,112,27.32069,27.32069,0,1,122,-0.7862069,-0.7862069,0,1,139,23.782759,23.782759,0,1,137,21.227587,21.227587,0,1,1992,3187.273,3187.273,64.8,0.18016787
2,1,20.875,103.68,0.02,236,403.71725,403.71725,25.92,0,126,24.175861,24.175861,0,1,112,13.365518,13.365518,0,1,132,27.713793,27.713793,0,1,130,43.634483,43.634483,0,1,139,38.327587,38.327587,0,1,2082,4060.6265,4060.6265,103.68,0.39226833
3,2,24,64.8,0.044,117,20.086824,20.086824,0,1,126,15.287106,15.287106,0,1,110,20.578796,20.578796,0,1,131,27.04642,27.04642,0,1,136,16.07106,16.07106,0,1,137,21.362751,21.362751,0,1,1726,2175.5408,2175.5408,64.8,0.22809029
4,3,11.333333,38.88,0.05,111,3.9310346,3.9310346,0,1,135,24.765518,24.765518,0,1,104,8.451724,8.451724,0,1,125,14.544827,14.544827,0,1,127,15.331035,15.331035,0,1,142,28.106897,28.106897,0,1,1159,1334.9473,1334.9473,38.88,0.8699672
5,4,32.53846,336.96,0.057,1859,4719.404,4719.404,103.68,0.73207366,4868,12259.083,12259.083,181.44,0.8373463,263,704.97076,704.97076,38.88,0,341,1001.5014,1001.5014,51.84,0.90642637,296,725.1576,725.1576,38.88,0.6010568,25392,81567.3,81567.3,285.12,0.88311833,15627,44455.883,44455.883,285.12,0.7365098
6,5,20.4,64.8,0.08,148,116.54518,116.54518,0,1,126,35.473927,35.473927,0,1,106,9.40745,9.40745,0,1,121,14.111175,14.111175,0,1,125,17.051003,17.051003,0,1,137,17.44298,17.44298,0,1,1346,2793.6206,2793.6206,64.8,0.80232227
7,6,10.6,64.8,0.08,346,370.5,370.5,25.92,0,127,27.910345,27.910345,0,1,115,32.627586,32.627586,0,1,130,33.610344,33.610344,0,1,126,25.748276,25.748276,0,1,145,21.62069,21.62069,0,1,664,1263.8276,1263.8276,51.84,0.90179634
8,7,29.5,77.76,0.109,240,271.6345,271.6345,25.92,0,122,18.868965,18.868965,0,1,109,41.07931,41.07931,0,1,129,28.893103,28.893103,0,1,138,33.806896,33.806896,0,1,140,37.73793,37.73793,0,1,1112,2411.8862,2411.8862,77.76,0.7135622
9,8,16.4,64.8,0.109,118,44.224136,44.224136,0,1,127,35.18276,35.18276,0,1,112,32.82414,32.82414,0,1,134,33.610344,33.610344,0,1,129,53.85517,53.85517,0,1,142,43.24138,43.24138,0,1,1164,1831.1952,1831.1952,64.8,0.6109659
10,9,29.4,64.8,0.109,375,448.13794,448.13794,25.92,0,122,24.765518,24.765518,0,1,109,22.8,22.8,0,1,128,32.627586,32.627586,0,1,136,9.434483,9.434483,0,1,141,27.713793,27.713793,0,1,1108,1533.8896,1533.8896,64.8,0.534336
11,10,13.4,64.8,0.145,172,126.97241,126.97241,0,1,121,-9.041379,-9.041379,0,1,111,18.27931,18.27931,0,1,136,37.73793,37.73793,0,1,128,37.541378,37.541378,0,1,143,39.310345,39.310345,0,1,1315,1933.0862,1933.0862,64.8,0.625442
12,11,19.875,311.04,0.145,2266,6560.5034,6560.5034,142.56,0.6854096,3844,12009.9,12009.9,194.4,0.8118829,233,684.19653,684.19653,51.84,0.70894754,487,995.14136,995.14136,51.84,0.47108564,325,763.4069,763.4069,38.88,0.457942,26490,80130.01,80130.01,259.2,0.7126575,19971,43151.457,43151.457,272.16,0.83302647
13,12,16.666666,38.88,0.167,124,42.455173,42.455173,0,1,115,-8.255173,-8.255173,0,1,114,31.644827,31.644827,0,1,126,14.544827,14.544827,0,1,119,-0.39310345,-0.39310345,0,1,137,10.0241375,10.0241375,0,1,1638,1946.8448,1946.8448,38.88,0.1876605
14,13,23.619047,272.16,0.168,476,2176.4526,2176.4526,129.6,0.9251754,128,90.93868,90.93868,0,1,114,135.42809,135.42809,0,1,128,64.28424,64.28424,0,1,142,114.84928,114.84928,0,1,148,119.944984,119.944984,0,1,4106,17615.922,17615.922,272.16,0.6930415
15,14,22.5,51.84,0.263,119,34.593105,34.593105,0,1,123,19.45862,19.45862,0,1,106,9.631035,9.631035,0,1,130,27.713793,27.713793,0,1,139,14.937931,14.937931,0,1,141,8.451724,8.451724,0,1,1075,1411.0448,1411.0448,51.84,0.68755275
16,15,5,25.92,0.292,108,3.1448276,3.1448276,0,1,120,7.075862,7.075862,0,1,102,2.7517242,2.7517242,0,1,130,12.57931,12.57931,0,1,126,13.562069,13.562069,0,1,142,7.075862,7.075862,0,1,1290,1420.2827,1420.2827,25.92,0
17,16,5.6,64.8,0.292,181,127.00057,127.00057,12.96,1,124,37.43381,37.43381,0,1,108,20.970774,20.970774,0,1,127,6.6636105,6.6636105,0,1,129,4.8997135,4.8997135,0,1,141,19.794842,19.794842,0,1,736,1222.7725,1222.7725,64.8,0.75867224
18,17,20.666666,77.76,0.359,237,346.1276,346.1276,38.88,0.53052986,126,17.1,17.1,0,1,113,30.268965,30.268965,0,1,129,22.996552,22.996552,0,1,125,21.227587,21.227587,0,1,138,10.810345,10.810345,0,1,1326,2175.0413,2175.0413,51.84,0.11259651
19,18,26.5,51.84,0.373,123,37.148277,37.148277,0,1,131,24.962069,24.962069,0,1,105,4.1275864,4.1275864,0,1,126,12.186207,12.186207,0,1,136,11.006897,11.006897,0,1,138,-1.5724138,-1.5724138,0,1,938,1226.3107,1226.3107,51.84,0.48103306
20,19,4.3333335,38.88,0.395,157,94.73793,94.73793,0,1,125,16.11724,16.11724,0,1,110,19.851725,19.851725,0,1,127,16.903448,16.903448,0,1,124,6.486207,6.486207,0,1,137,17.1,17.1,0,1,1098,1353.062,1353.062,38.88,0.24265833
21,20,16.8,64.8,0.409,115,31.360027,31.360027,0,1,126,10.613793,10.613793,0,1,109,22.013794,22.013794,0,1,129,17.296553,17.296553,0,1,122,23.586206,23.586206,0,1,145,30.072414,30.072414,0,1,1735,2521.169,2521.169,64.8,0.3528281
22,21,2.75,51.84,0.425,185,108.49655,108.49655,12.96,1,124,5.8965516,5.8965516,0,1,123,17.493103,17.493103,0,1,126,2.3586206,2.3586206,0,1,131,35.18276,35.18276,0,1,140,27.713793,27.713793,0,1,2034,1320.4913,1320.4913,51.84,0.7290134
