Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
18,17,8.947369,492.48,0.454,2533,10195.222,10195.222,220.32,0.6858407,5596,24551.135,24551.135,324,0.8525532,318,1287.7788,1287.7788,77.76,0.6783731,521,1892.035,1892.035,103.68,0.85194105,418,1448.1089,1448.1089,103.68,0.88643587,46315,156678.16,156678.16,466.56,0.8391818,15200,65092.23,65092.23,311.04,0.85893184
19,18,26,51.84,0.461,122,22.406897,22.406897,0,1,126,13.168965,13.168965,0,1,117,44.027588,44.027588,0,1,129,16.11724,16.11724,0,1,144,14.151724,14.151724,0,1,142,10.22069,10.22069,0,1,1207,1469.609,1469.609,51.84,0.40589806
20,19,25.4,259.2,0.483,550,2119.8103,2119.8103,129.6,0.41921267,130,82.15862,82.15862,0,1,115,129.13448,129.13448,0,1,133,85.5,85.5,0,1,144,85.30345,85.30345,0,1,149,121.46896,121.46896,0,1,6133,24788.088,24788.088,259.2,0.5643713
21,20,32.791668,622.08,0.527,4679,13493.669,13493.669,168.48,0.83838964,9351,46140.715,46140.715,362.88,0.9162467,446,2388.693,2388.693,116.64,0.6617218,847,3433.3655,3433.3655,116.64,0.89368516,562,2442.3518,2442.3518,103.68,0.9664642,54816,278056.03,278056.03,622.08,0.9772238,17761,71055.54,71055.54,298.08,0.9069177
22,21,5.909091,142.56,0.527,277,507.3,507.3,38.88,0.60886705,127,59.948277,59.948277,0,1,117,58.375862,58.375862,0,1,129,28.303448,28.303448,0,1,134,75.868965,75.868965,0,1,143,33.41379,33.41379,0,1,2398,8803.748,8803.748,142.56,0.83041924
23,22,24.25,51.84,0.534,157,104.95862,104.95862,0,1,124,20.44138,20.44138,0,1,110,24.962069,24.962069,0,1,129,14.151724,14.151724,0,1,142,10.0241375,10.0241375,0,1,142,4.1275864,4.1275864,0,1,1530,1617.2275,1617.2275,51.84,0.46776396
24,23,15.833333,77.76,0.565,216,153.5069,153.5069,12.96,1,128,30.465517,30.465517,0,1,113,31.644827,31.644827,0,1,131,27.713793,27.713793,0,1,128,45.79655,45.79655,0,1,138,8.451724,8.451724,0,1,1487,2955.5483,2955.5483,77.76,0.36621964
25,24,20.2,64.8,0.637,174,131.29655,131.29655,12.96,1,129,30.465517,30.465517,0,1,112,27.32069,27.32069,0,1,127,4.1275864,4.1275864,0,1,134,50.513794,50.513794,0,1,140,21.424137,21.424137,0,1,1000,1413.2069,1413.2069,64.8,0.37623802
26,25,12.75,103.68,0.667,286,369.2926,369.2926,25.92,0,124,30.465517,30.465517,0,1,113,65.058624,65.058624,0,1,132,56.017242,56.017242,0,1,127,24.372414,24.372414,0,1,141,39.506897,39.506897,0,1,1264,3271.062,3271.062,90.72,0.860202
27,26,11.904762,544.32,0.674,1921,8572.19,8572.19,207.36,0.7559578,5883,32773.82,32773.82,414.72,0.882738,340,1762.4794,1762.4794,77.76,0.6685802,590,2497.1897,2497.1897,129.6,0.8249661,425,1821.2483,1821.2483,116.64,0.9153659,48253,207098.3,207098.3,544.32,0.86521685,15924,69652.89,69652.89,324,0.84406435
28,27,9,25.92,0.682,121,31.84138,31.84138,0,1,121,12.57931,12.57931,0,1,112,21.031034,21.031034,0,1,126,12.186207,12.186207,0,1,127,14.544827,14.544827,0,1,136,0.58965516,0.58965516,0,1,1174,1278.8097,1278.8097,25.92,0
29,28,22.310345,375.84,0.688,4028,8703.998,8703.998,129.6,0.4945989,7207,24650.51,24650.51,233.28,0.88401437,352,1311.5896,1311.5896,77.76,0.71240795,615,1806.7035,1806.7035,77.76,0.8335692,405,1238.669,1238.669,77.76,0.8534303,28778,154338.27,154338.27,362.88,0.8707473,26497,51727.875,51727.875,285.12,0.7283157
