Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
1,0,33.5,51.84,0,208,148.39655,148.39655,12.96,1,131,30.072414,30.072414,0,1,114,40.09655,40.09655,0,1,129,26.731035,26.731035,0,1,141,18.27931,18.27931,0,1,146,14.348276,14.348276,0,1,994,1364.2655,1364.2655,51.84,0.51664805
2,1,15,116.64,0.008,176,335.92435,335.92435,12.96,1,126,21.558739,21.558739,0,1,107,20.970774,20.970774,0,1,130,47.429226,47.429226,0,1,130,33.51404,33.51404,0,1,144,42.333523,42.333523,0,1,1597,4228.3564,4228.3564,103.68,0.67217547
3,2,4.857143,181.44,0.028,254,729.9931,729.9931,51.84,0.43296158,129,66.82758,66.82758,0,1,114,70.56207,70.56207,0,1,131,74.88621,74.88621,0,1,137,96.11379,96.11379,0,1,143,63.486206,63.486206,0,1,1839,7571.2285,7571.2285,181.44,0.6347534
4,3,23.4,259.2,0.058,294,1242.1754,1242.1754,116.64,0.7775255,135,80.15931,80.15931,0,1,113,98.190254,98.190254,0,1,133,106.421776,106.421776,0,1,145,76.04356,76.04356,0,1,146,112.69341,112.69341,0,1,3716,15542.403,15542.403,233.28,0.62891316
5,4,15.083333,155.52,0.116,186,331.7793,331.7793,25.92,0,129,37.148277,37.148277,0,1,108,46.97586,46.97586,0,1,132,62.7,62.7,0,1,129,57.786205,57.786205,0,1,149,52.08621,52.08621,0,1,1671,5803.976,5803.976,155.52,0.8839416
6,5,10,90.72,0.124,136,98.58224,98.58224,0,1,134,53.308884,53.308884,0,1,110,6.467622,6.467622,0,1,135,34.297993,34.297993,0,1,127,33.906017,33.906017,0,1,137,19.206877,19.206877,0,1,1808,2885.5112,2885.5112,90.72,0.5143193
7,6,13.5,51.84,0.145,127,53.068966,53.068966,0,1,126,31.644827,31.644827,0,1,115,21.227587,21.227587,0,1,128,24.765518,24.765518,0,1,124,20.834482,20.834482,0,1,139,2.7517242,2.7517242,0,1,897,1304.3173,1304.3173,51.84,0.5589787
8,7,10,129.6,0.145,615,1011.6928,1011.6928,64.8,0.69138414,126,28.418339,28.418339,0,1,112,61.5404,61.5404,0,1,131,50.95702,50.95702,0,1,137,43.901432,43.901432,0,1,145,47.03725,47.03725,0,1,4984,11331.817,11331.817,116.64,0.21715228
9,8,30.5,51.84,0.156,241,189.86897,189.86897,12.96,1,124,17.689655,17.689655,0,1,109,30.268965,30.268965,0,1,126,19.45862,19.45862,0,1,141,27.32069,27.32069,0,1,141,15.134482,15.134482,0,1,962,1275.6207,1275.6207,51.84,0.3144029
10,9,20.166666,77.76,0.212,154,117.34138,117.34138,0,1,127,31.644827,31.644827,0,1,106,18.868965,18.868965,0,1,132,44.813793,44.813793,0,1,133,50.906895,50.906895,0,1,140,12.186207,12.186207,0,1,1193,2262.5068,2262.5068,77.76,0.4974796
11,10,31.4,64.8,0.212,194,144.63954,144.63954,12.96,1,122,10.387393,10.387393,0,1,106,17.44298,17.44298,0,1,135,27.04642,27.04642,0,1,138,19.598854,19.598854,0,1,144,27.830372,27.830372,0,1,1188,1972.2327,1972.2327,64.8,0.5473812
12,11,8.5,259.2,0.212,1345,3306.1965,3306.1965,90.72,0.8503176,4904,10875.011,10875.011,129.6,0.7683978,238,612.0621,612.0621,38.88,0,330,890.57587,890.57587,51.84,0.9548636,286,681.64136,681.64136,51.84,0.8633188,22427,73171.09,73171.09,259.2,0.9459014,13339,34425.84,34425.84,220.32,0.7283998
13,12,20.826086,298.08,0.242,129,226.03477,226.03477,0,1,135,156.79083,156.79083,0,1,114,115.241264,115.241264,0,1,130,87.41089,87.41089,0,1,137,73.10372,73.10372,0,1,148,97.99427,97.99427,0,1,755,4754.2817,4754.2817,298.08,0.5812968
14,13,24,388.8,0.248,1709,6393.918,6393.918,155.52,0.9406959,6301,22454.016,22454.016,233.28,0.846911,298,1274.1215,1274.1215,77.76,0.6708626,646,1815.4419,1815.4419,90.72,0.6846344,434,1219.2448,1219.2448,90.72,0.95114297,37164,148604.39,148604.39,388.8,0.898067,20376,53584.08,53584.08,285.12,0.6298454
15,14,4.8,64.8,0.301,252,238.02414,238.02414,12.96,1,127,36.165516,36.165516,0,1,117,33.41379,33.41379,0,1,126,5.3068967,5.3068967,0,1,128,14.151724,14.151724,0,1,140,12.972414,12.972414,0,1,863,1333.8,1333.8,51.84,0.7264464
16,15,20.555555,116.64,0.307,222,397.82068,397.82068,25.92,0,132,55.624138,55.624138,0,1,111,37.934483,37.934483,0,1,130,29.48276,29.48276,0,1,131,54.837933,54.837933,0,1,142,31.055172,31.055172,0,1,1936,6764.131,6764.131,116.64,0.6516642
17,16,18.6,64.8,0.314,135,42.848274,42.848274,0,1,124,13.365518,13.365518,0,1,115,46.189655,46.189655,0,1,129,29.48276,29.48276,0,1,127,15.527586,15.527586,0,1,146,31.055172,31.055172,0,1,1020,1596.5896,1596.5896,64.8,0.72263026
18,17,14,116.64,0.329,291,596.9811,596.9811,51.84,0.88096607,130,41.157593,41.157593,0,1,105,14.307163,14.307163,0,1,129,18.226934,18.226934,0,1,133,38.413754,38.413754,0,1,142,42.529514,42.529514,0,1,780,1793.5646,1793.5646,103.68,0.7821494
19,18,13.5,51.84,0.336,151,101.13009,101.13009,0,1,129,17.834957,17.834957,0,1,105,11.367335,11.367335,0,1,118,-8.231519,-8.231519,0,1,126,19.402864,19.402864,0,1,137,10.387393,10.387393,0,1,758,1239.2355,1239.2355,51.84,0.6306661
20,19,17.4,64.8,0.409,124,46.386208,46.386208,0,1,128,33.41379,33.41379,0,1,113,26.534483,26.534483,0,1,130,12.57931,12.57931,0,1,132,31.644827,31.644827,0,1,149,46.779312,46.779312,0,1,1265,1577.131,1577.131,64.8,0.8126484
21,20,4.8,129.6,0.418,686,1009.92896,1009.92896,51.84,0.4599978,129,38.217766,38.217766,0,1,113,37.6298,37.6298,0,1,133,67.22407,67.22407,0,1,125,29.986246,29.986246,0,1,140,23.714613,23.714613,0,1,1854,6080.8286,6080.8286,116.64,0.9787118
22,21,21.90909,285.12,0.468,752,1802.8986,1802.8986,90.72,0.6653994,4309,9389.615,9389.615,155.52,0.8012517,206,571.89453,571.89453,38.88,0,348,771.80286,771.80286,51.84,0.6898925,302,594.4332,594.4332,38.88,0.76741326,19557,64464.55,64464.55,246.24,0.93169576,13268,32276.373,32276.373,246.24,0.6967332
23,22,14.333333,38.88,0.63,119,36.755173,36.755173,0,1,126,17.296553,17.296553,0,1,109,16.706896,16.706896,0,1,121,4.324138,4.324138,0,1,119,2.162069,2.162069,0,1,138,2.162069,2.162069,0,1,1520,1941.931,1941.931,38.88,0.21843164
24,23,23.5,51.84,0.645,130,77.83448,77.83448,0,1,123,17.493103,17.493103,0,1,109,26.927586,26.927586,0,1,126,15.724138,15.724138,0,1,143,15.724138,15.724138,0,1,139,11.9896555,11.9896555,0,1,1145,1700.5656,1700.5656,51.84,0.4810553
25,24,11.5,51.84,0.645,122,55.427586,55.427586,0,1,128,18.27931,18.27931,0,1,110,33.02069,33.02069,0,1,127,22.996552,22.996552,0,1,132,19.851725,19.851725,0,1,139,15.331035,15.331035,0,1,768,1517.7725,1517.7725,51.84,0.9263418
26,25,33,64.8,0.653,144,92.50659,92.50659,0,1,132,31.946133,31.946133,0,1,108,16.07106,16.07106,0,1,131,43.705444,43.705444,0,1,143,25.282522,25.282522,0,1,142,19.402864,19.402864,0,1,1187,1435.2241,1435.2241,64.8,0.61623687
27,26,13.5,51.84,0.667,136,70.163895,70.163895,0,1,125,27.634384,27.634384,0,1,115,40.37364,40.37364,0,1,126,19.598854,19.598854,0,1,125,19.01089,19.01089,0,1,146,12.151289,12.151289,0,1,877,1337.4258,1337.4258,51.84,0.3821281
28,27,14.5,77.76,0.681,135,89.566765,89.566765,0,1,125,30.7702,30.7702,0,1,102,2.547851,2.547851,0,1,131,19.598854,19.598854,0,1,127,22.538681,22.538681,0,1,141,17.44298,17.44298,0,1,970,1553.0132,1553.0132,77.76,0.7311452
29,28,17.4,64.8,0.705,200,143.85559,143.85559,12.96,1,125,23.910603,23.910603,0,1,110,19.794842,19.794842,0,1,125,16.267048,16.267048,0,1,125,11.171347,11.171347,0,1,144,39.785675,39.785675,0,1,672,1314.6912,1314.6912,64.8,0.7556565
