Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
1,0,19.833334,77.76,0,116,32.338108,32.338108,0,1,124,16.659025,16.659025,0,1,112,22.146706,22.146706,0,1,132,45.46934,45.46934,0,1,127,32.926075,32.926075,0,1,140,10.387393,10.387393,0,1,1592,2232.3096,2232.3096,77.76,0.73950166
2,1,13.98,648,0.048,1599,15921.913,15921.913,492.48,0.6967794,132,239.69398,239.69398,0,1,115,261.25272,261.25272,0,1,133,253.02121,253.02121,0,1,131,209.51175,209.51175,0,1,148,242.24184,242.24184,0,1,11606,85452.4,85452.4,583.2,0.6847114
3,2,24.6,64.8,0.085,260,207.74785,207.74785,12.96,1,132,40.17765,40.17765,0,1,115,35.27794,35.27794,0,1,124,8.623496,8.623496,0,1,146,29.790258,29.790258,0,1,142,9.799427,9.799427,0,1,1156,2079.0464,2079.0464,64.8,0.81127673
4,3,2.6666667,272.16,0.1,2016,5466.512,5466.512,116.64,0.6795332,4798,11193.886,11193.886,155.52,0.611499,268,607.76044,607.76044,38.88,0,367,960.73584,960.73584,51.84,0.9172588,263,677.1404,677.1404,51.84,0.97329676,25322,71990.7,71990.7,259.2,0.71244836,15957,36344.465,36344.465,207.36,0.63062835
5,4,7.8,129.6,0.1,490,867.44525,867.44525,64.8,0.6244285,130,63.10831,63.10831,0,1,113,41.941547,41.941547,0,1,127,42.92149,42.92149,0,1,130,63.500286,63.500286,0,1,143,58.796562,58.796562,0,1,2227,8191.525,8191.525,129.6,0.8381078
6,5,26.288889,583.2,0.116,3604,15873.111,15873.111,246.24,0.7581771,5560,34448.234,34448.234,427.68,0.97102374,335,1870.5146,1870.5146,103.68,0.7701563,564,2608.9995,2608.9995,129.6,0.8803749,452,1910.8883,1910.8883,116.64,0.95988923,47964,221902.66,221902.66,583.2,0.8957557,12148,72222.37,72222.37,324,0.85441804
7,6,14.4,64.8,0.136,136,65.06819,65.06819,0,1,124,21.166761,21.166761,0,1,109,22.146706,22.146706,0,1,130,33.71003,33.71003,0,1,127,23.714613,23.714613,0,1,141,24.10659,24.10659,0,1,1003,1548.3135,1548.3135,64.8,0.7778396
8,7,7.5,336.96,0.144,3013,10141.623,10141.623,168.48,0.6129878,3096,11053.361,11053.361,207.36,0.92703867,214,639.31464,639.31464,38.88,0,321,878.2247,878.2247,51.84,0.96892667,267,747.5003,747.5003,25.92,0,28892,73588.8,73588.8,311.04,0.65940356,18264,39806.926,39806.926,233.28,0.7179955
9,8,19.181818,142.56,0.174,197,348.07565,348.07565,38.88,0.64312625,123,29.398281,29.398281,0,1,113,39.00172,39.00172,0,1,126,40.569626,40.569626,0,1,129,51.349,51.349,0,1,143,41.74556,41.74556,0,1,1499,3373.1587,3373.1587,116.64,0.2587901
10,9,23,38.88,0.195,132,54.87679,54.87679,0,1,122,15.679083,15.679083,0,1,110,4.311748,4.311748,0,1,128,27.634384,27.634384,0,1,141,21.754728,21.754728,0,1,138,9.995416,9.995416,0,1,914,1428.1685,1428.1685,38.88,0
