Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
1,0,34.142857,90.72,0,194,260.86075,260.86075,25.92,0,131,33.906017,33.906017,0,1,108,19.794842,19.794842,0,1,127,20.578796,20.578796,0,1,143,26.458452,26.458452,0,1,150,43.509457,43.509457,0,1,2315,3840.1995,3840.1995,77.76,0.20186186
2,1,9.333333,38.88,0,117,9.799427,9.799427,0,1,118,-4.703725,-4.703725,0,1,107,8.427507,8.427507,0,1,131,26.458452,26.458452,0,1,128,20.382809,20.382809,0,1,140,18.8149,18.8149,0,1,1315,1456.1948,1456.1948,38.88,0.8068823
3,2,11.75,51.84,0,122,35.37931,35.37931,0,1,131,30.66207,30.66207,0,1,113,21.424137,21.424137,0,1,130,10.0241375,10.0241375,0,1,127,17.1,17.1,0,1,143,16.903448,16.903448,0,1,1168,1410.2587,1410.2587,51.84,0.38363233
4,3,18,51.84,0.051,115,24.302578,24.302578,0,1,135,32.14212,32.14212,0,1,113,24.498568,24.498568,0,1,129,6.271633,6.271633,0,1,130,23.910603,23.910603,0,1,136,10.779369,10.779369,0,1,2281,2802.832,2802.832,51.84,0.25100198
5,4,21.5,77.76,0.103,274,239.498,239.498,12.96,1,134,48.017193,48.017193,0,1,113,39.393696,39.393696,0,1,133,51.349,51.349,0,1,126,24.694555,24.694555,0,1,146,25.47851,25.47851,0,1,820,1551.6493,1551.6493,77.76,0.6916118
6,5,6.6666665,38.88,0.116,143,71.93793,71.93793,0,1,117,4.324138,4.324138,0,1,112,15.724138,15.724138,0,1,124,0.19655173,0.19655173,0,1,134,25.355173,25.355173,0,1,141,23.586206,23.586206,0,1,1236,1511.0896,1511.0896,38.88,0.20501953
7,6,23.105692,1594.08,0.132,2634,8521.874,8521.874,116.64,0.7128517,43715,122454.23,122454.23,453.6,0.64082706,2068,8036.902,8036.902,168.48,0.4346994,2488,9610.69,9610.69,155.52,0.96415555,1981,7244.7163,7244.7163,129.6,0.83877945,65535,581373.4,581373.4,1555.2,0.44297484,22276,44995.008,44995.008,298.08,0.8225261
8,7,30,51.84,0.154,112,9.799427,9.799427,0,1,126,25.870487,25.870487,0,1,112,26.85043,26.85043,0,1,136,41.549572,41.549572,0,1,135,14.307163,14.307163,0,1,143,14.895129,14.895129,0,1,1952,2267.4915,2267.4915,51.84,0.37663245
9,8,31.5,51.84,0.168,121,40.88276,40.88276,0,1,128,32.431034,32.431034,0,1,111,29.48276,29.48276,0,1,135,34.593105,34.593105,0,1,141,21.227587,21.227587,0,1,146,26.141378,26.141378,0,1,810,1456.2517,1456.2517,51.84,0.78279096
10,9,5.5,51.84,0.205,153,76.655174,76.655174,0,1,122,15.331035,15.331035,0,1,107,13.75862,13.75862,0,1,130,18.27931,18.27931,0,1,131,22.210344,22.210344,0,1,139,21.62069,21.62069,0,1,661,1258.1276,1258.1276,51.84,0.63394004
11,10,17.842106,246.24,0.213,342,1686.6774,1686.6774,142.56,0.816826,324,1019.7284,1019.7284,77.76,0.8899897,126,201.8682,201.8682,0,1,145,165.02235,165.02235,0,1,141,180.70143,180.70143,0,1,3512,6397.85,6397.85,116.64,0.86181265,4173,16436.12,16436.12,233.28,0.91933864
12,11,12.833333,77.76,0.228,120,35.473927,35.473927,0,1,130,41.549572,41.549572,0,1,121,49.38911,49.38911,0,1,136,35.669914,35.669914,0,1,131,29.202291,29.202291,0,1,145,20.774786,20.774786,0,1,2888,3733.9736,3733.9736,77.76,0.5778175
13,12,32.658333,1555.2,0.228,1098,5658.785,5658.785,181.44,0.7420367,35749,162901.36,162901.36,699.84,0.88761556,2173,10287.242,10287.242,220.32,0.5284318,3151,12492.701,12492.701,207.36,0.74129814,2386,8973.728,8973.728,194.4,0.86948836,65535,696906.25,696906.25,1555.2,0.79384446,14180,45806.695,45806.695,272.16,0.9132136
14,13,26.642857,181.44,0.234,541,1497.5485,1497.5485,77.76,0.85819983,132,84.667046,84.667046,0,1,141,122.10086,122.10086,0,1,142,83.099144,83.099144,0,1,161,96.42636,96.42636,0,1,158,120.72894,120.72894,0,1,5044,17189.97,17189.97,181.44,0.7440208
15,14,28,25.92,0.249,111,11.006897,11.006897,0,1,126,5.5034485,5.5034485,0,1,114,11.596552,11.596552,0,1,127,3.3413794,3.3413794,0,1,138,12.186207,12.186207,0,1,138,11.006897,11.006897,0,1,1507,1954.0852,1954.0852,25.92,0
16,15,27.8,64.8,0.294,126,51.936962,51.936962,0,1,125,11.171347,11.171347,0,1,105,12.151289,12.151289,0,1,129,18.422922,18.422922,0,1,142,33.71003,33.71003,0,1,148,22.342693,22.342693,0,1,1097,1304.6957,1304.6957,64.8,0.525219
17,16,28.2,64.8,0.315,139,72.33103,72.33103,0,1,127,32.03793,32.03793,0,1,111,27.32069,27.32069,0,1,131,20.637932,20.637932,0,1,142,37.934483,37.934483,0,1,144,18.082758,18.082758,0,1,2205,2887.5413,2887.5413,64.8,0.20129102
